时间段,省份,城市,月份,最大温度,最小温度,降水量
1981年-2010年,河北省,保定,8,30.4,21.9,112.8
1981年-2010年,河北省,保定,9,26.6,16.5,54.7
1981年-2010年,河北省,保定,10,20.1,9.4,21.3
1981年-2010年,河北省,保定,11,10.8,1.3,11.4
1981年-2010年,河北省,保定,12,4.1,-4.3,2
1981年-2010年,河北省,沧州,1,2.7,-7.7,2.6
1981年-2010年,河北省,沧州,2,6.8,-3.8,5.4
1981年-2010年,河北省,沧州,3,13.9,2,10.6
1981年-2010年,河北省,沧州,4,21.3,8.9,20.6
1981年-2010年,河北省,沧州,5,27.5,15,38.6
1981年-2010年,河北省,沧州,6,31.6,20,73.8
1981年-2010年,河北省,沧州,7,32.1,22.8,169
1981年-2010年,河北省,沧州,8,30.4,21.5,125.4
1981年-2010年,河北省,沧州,9,27.2,16,44.7
1981年-2010年,河北省,沧州,10,20.5,9.1,34.7
1981年-2010年,河北省,沧州,11,11.4,0.7,12.4
1981年-2010年,河北省,沧州,12,4,-5.5,3.2
1981年-2010年,河北省,承德,1,-1.9,-14.8,1.7
1981年-2010年,河北省,承德,2,3,-10.7,3.8
1981年-2010年,河北省,承德,3,10.1,-3.8,9.2
1981年-2010年,河北省,承德,4,19.3,4.5,21.3
1981年-2010年,河北省,承德,5,25.6,11,47.2
1981年-2010年,河北省,承德,6,29.2,16,88
1981年-2010年,河北省,承德,7,30.3,19.2,136.8
1981年-2010年,河北省,承德,8,29.2,17.7,108.1
1981年-2010年,河北省,承德,9,24.7,11,50.4
1981年-2010年,河北省,承德,10,17.4,3.3,26.8
1981年-2010年,河北省,承德,11,7.1,-5.5,7.6
1981年-2010年,河北省,承德,12,-0.4,-12.4,2.6
1981年-2010年,河北省,邯郸,1,4.1,-4.8,3.1
1981年-2010年,河北省,邯郸,2,8.2,-1.7,6.3
1981年-2010年,河北省,邯郸,3,14.3,3.5,13.4
1981年-2010年,河北省,邯郸,4,22,10.3,19.2
1981年-2010年,河北省,邯郸,5,27.3,15.7,44.2
1981年-2010年,河北省,邯郸,6,32.1,20.7,49.1
1981年-2010年,河北省,邯郸,7,32.1,23.2,133.8
1981年-2010年,河北省,邯郸,8,30.6,22.1,138.1
1981年-2010年,河北省,邯郸,9,27,17,50
1981年-2010年,河北省,邯郸,10,21.4,10.5,29.7
1981年-2010年,河北省,邯郸,11,12.8,2.6,11.8
1981年-2010年,河北省,邯郸,12,6,-2.8,3.1
1981年-2010年,河北省,衡水,1,3.2,-7.1,2
1981年-2010年,河北省,衡水,2,7.2,-3.9,5.4
1981年-2010年,河北省,衡水,3,13.7,1.9,11.4
1981年-2010年,河北省,衡水,4,21.8,9.2,18.5
1981年-2010年,河北省,衡水,5,27.4,14.9,37.4
1981年-2010年,河北省,衡水,6,31.9,20,71.3
1981年-2010年,河北省,衡水,7,32,22.8,147.1
1981年-2010年,河北省,衡水,8,30.5,21.5,116.4
1981年-2010年,河北省,衡水,9,26.9,16.1,46.1
1981年-2010年,河北省,衡水,10,21,9.2,27.1
1981年-2010年,河北省,衡水,11,11.8,0.9,11.1
1981年-2010年,河北省,衡水,12,4.9,-4.8,3.1
1981年-2010年,河北省,廊坊,1,1.8,-8.8,3.3
1981年-2010年,河北省,廊坊,2,5.7,-5.5,4.4
1981年-2010年,河北省,廊坊,3,12.5,0.5,9.2
1981年-2010年,河北省,廊坊,4,21,8.1,22.4
1981年-2010年,河北省,廊坊,5,26.9,13.9,32.4
1981年-2010年,河北省,廊坊,6,30.9,18.9,69.9
1981年-2010年,河北省,廊坊,7,31.6,22.1,146.1
1981年-2010年,河北省,廊坊,8,30.4,21,139.3
1981年-2010年,河北省,廊坊,9,26.6,15.1,47.6
1981年-2010年,河北省,廊坊,10,19.8,7.8,25.4
1981年-2010年,河北省,廊坊,11,10.2,-0.5,11.1
1981年-2010年,河北省,廊坊,12,3.6,-6.3,2.5
1981年-2010年,河北省,秦皇岛,1,-0.1,-10.6,3
1981年-2010年,河北省,秦皇岛,2,3.1,-7.2,3.9
1981年-2010年,河北省,秦皇岛,3,8.6,-1.3,10.3
1981年-2010年,河北省,秦皇岛,4,16,6.1,26.8
1981年-2010年,河北省,秦皇岛,5,22.2,12.4,54
1981年-2010年,河北省,秦皇岛,6,25.5,17.5,87.3
1981年-2010年,河北省,秦皇岛,7,28.3,21.5,168.2
1981年-2010年,河北省,秦皇岛,8,28.2,20.5,155.8
1981年-2010年,河北省,秦皇岛,9,25.3,14.9,51.5
1981年-2010年,河北省,秦皇岛,10,18.5,7.1,26.2
1981年-2010年,河北省,秦皇岛,11,9.7,-1.2,9.5
1981年-2010年,河北省,秦皇岛,12,2.2,-7.7,3.7
1981年-2010年,河北省,任丘,1,2.2,-8.1,2.7
1981年-2010年,河北省,任丘,2,6.3,-4.6,4.5
1981年-2010年,河北省,任丘,3,13.1,1.4,9.4
1981年-2010年,河北省,任丘,4,21.4,8.9,20.5
1981年-2010年,河北省,任丘,5,27.3,14.8,35.3
1981年-2010年,河北省,任丘,6,31.6,19.8,60.1
1981年-2010年,河北省,任丘,7,32,22.7,153.4
1981年-2010年,河北省,任丘,8,30.4,21.6,124.8
1981年-2010年,河北省,任丘,9,26.7,15.9,47.7
1981年-2010年,河北省,任丘,10,20.3,8.8,23.4
1981年-2010年,河北省,任丘,11,10.8,0.3,11.2
1981年-2010年,河北省,任丘,12,3.9,-5.7,2.4
1981年-2010年,河北省,容城,1,2,-8.8,2.3
